EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
101,Neena,Kochhar,NKOCHHAR,515.123.4568,1989-09-21,AD_VP,17000,100,90.0
102,Lex,De Haan,LDEHAAN,515.123.4569,1993-01-13,AD_VP,17000,100,90.0
103,Alexander,Hunold,AHUNOLD,590.423.4567,1990-01-03,IT_PROG,9000,102,60.0
104,Bruce,Ernst,BERNST,590.423.4568,1991-05-21,IT_PROG,6000,103,60.0
105,David,Austin,DAUSTIN,590.423.4569,1997-06-25,IT_PROG,4800,103,60.0
106,Valli,Pataballa,VPATABAL,590.423.4560,1998-02-05,IT_PROG,4800,103,60.0
107,Diana,Lorentz,DLORENTZ,590.423.5567,1999-02-07,IT_PROG,4200,103,60.0
108,Nancy,Greenberg,NGREENBE,515.124.4569,1994-08-17,FI_MGR,12000,101,100.0
109,Daniel,Faviet,DFAVIET,515.124.4169,1994-08-16,FI_ACCOUNT,9000,108,100.0
110,John,Chen,JCHEN,515.124.4269,1997-09-28,FI_ACCOUNT,8200,108,100.0
111,Ismael,Sciarra,ISCIARRA,515.124.4369,1997-09-30,FI_ACCOUNT,7700,108,100.0
112,Jose Manuel,Urman,JMURMAN,515.124.4469,1998-03-07,FI_ACCOUNT,7800,108,100.0
113,Luis,Popp,LPOPP,515.124.4567,1999-12-07,FI_ACCOUNT,6900,108,100.0
114,Den,Raphaely,DRAPHEAL,515.127.4561,1994-12-07,PU_MAN,11000,100,30.0
115,Alexander,Khoo,AKHOO,515.127.4562,1995-05-18,PU_CLERK,3100,114,30.0
116,Shelli,Baida,SBAIDA,515.127.4563,1997-12-24,PU_CLERK,2900,114,30.0
117,Sigal,Tobias,STOBIAS,515.127.4564,1997-07-24,PU_CLERK,2800,114,30.0
118,Guy,Himuro,GHIMURO,515.127.4565,1998-11-15,PU_CLERK,2600,114,30.0
119,Karen,Colmenares,KCOLMENA,515.127.4566,1999-08-10,PU_CLERK,2500,114,30.0
120,Matthew,Weiss,MWEISS,650.123.1234,1996-07-18,ST_MAN,8000,100,50.0
121,Adam,Fripp,AFRIPP,650.123.2234,1997-04-10,ST_MAN,8200,100,50.0
122,Payam,Kaufling,PKAUFLIN,650.123.3234,1995-05-01,ST_MAN,7900,100,50.0
123,Shanta,Vollman,SVOLLMAN,650.123.4234,1997-10-10,ST_MAN,6500,100,50.0
124,Kevin,Mourgos,KMOURGOS,650.123.5234,1999-11-16,ST_MAN,5800,100,50.0
125,Julia,Nayer,JNAYER,650.124.1214,1997-07-16,ST_CLERK,3200,120,50.0
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,1998-09-28,ST_CLERK,2700,120,50.0
127,James,Landry,JLANDRY,650.124.1334,1999-01-14,ST_CLERK,2400,120,50.0
128,Steven,Markle,SMARKLE,650.124.1434,2000-03-08,ST_CLERK,2200,120,50.0
129,Laura,Bissot,LBISSOT,650.124.5234,1997-08-20,ST_CLERK,3300,121,50.0
130,Mozhe,Atkinson,MATKINSO,650.124.6234,1997-10-30,ST_CLERK,2800,121,50.0
131,James,Marlow,JAMRLOW,650.124.7234,1997-02-16,ST_CLERK,2500,121,50.0
132,TJ,Olson,TJOLSON,650.124.8234,1999-04-10,ST_CLERK,2100,121,50.0
133,Jason,Mallin,JMALLIN,650.127.1934,1996-06-14,ST_CLERK,3300,122,50.0
134,Michael,Rogers,MROGERS,650.127.1834,1998-08-26,ST_CLERK,2900,122,50.0
135,Ki,Gee,KGEE,650.127.1734,1999-12-12,ST_CLERK,2400,122,50.0
136,Hazel,Philtanker,HPHILTAN,650.127.1634,2000-02-06,ST_CLERK,2200,122,50.0
137,Renske,Ladwig,RLADWIG,650.121.1234,1995-07-14,ST_CLERK,3600,123,50.0
138,Stephen,Stiles,SSTILES,650.121.2034,1997-10-26,ST_CLERK,3200,123,50.0
139,John,Seo,JSEO,650.121.2019,1998-02-12,ST_CLERK,2700,123,50.0
140,Joshua,Patel,JPATEL,650.121.1834,1998-04-06,ST_CLERK,2500,123,50.0
141,Trenna,Rajs,TRAJS,650.121.8009,1995-10-17,ST_CLERK,3500,124,50.0
142,Curtis,Davies,CDAVIES,650.121.2994,1997-01-29,ST_CLERK,3100,124,50.0
143,Randall,Matos,RMATOS,650.121.2874,1998-03-15,ST_CLERK,2600,124,50.0
144,Peter,Vargas,PVARGAS,650.121.2004,1998-07-09,ST_CLERK,2500,124,50.0
145,John,Russell,JRUSSEL,011.44.1344.429268,1996-10-01,SA_MAN,14000,100,80.0
146,Karen,Partners,KPARTNER,011.44.1344.467268,1997-01-05,SA_MAN,13500,100,80.0
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,1997-03-10,SA_MAN,12000,100,80.0
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,1999-10-15,SA_MAN,11000,100,80.0
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,2000-01-29,SA_MAN,10500,100,80.0
150,Peter,Tucker,PTUCKER,011.44.1344.129268,1997-01-30,SA_REP,10000,145,80.0
151,David,Bernstein,DBERNSTE,011.44.1344.345268,1997-03-24,SA_REP,9500,145,80.0
152,Peter,Hall,PHALL,011.44.1344.478968,1997-08-20,SA_REP,9000,145,80.0
153,Christopher,Olsen,COLSEN,011.44.1344.498718,1998-03-30,SA_REP,8000,145,80.0
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,1998-12-09,SA_REP,7500,145,80.0
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,1999-11-23,SA_REP,7000,145,80.0
156,Janette,King,JKING,011.44.1345.429268,1996-01-30,SA_REP,10000,146,80.0
157,Patrick,Sully,PSULLY,011.44.1345.929268,1996-03-04,SA_REP,9500,146,80.0
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,1996-08-01,SA_REP,9000,146,80.0
159,Lindsey,Smith,LSMITH,011.44.1345.729268,1997-03-10,SA_REP,8000,146,80.0
160,Louise,Doran,LDORAN,011.44.1345.629268,1997-12-15,SA_REP,7500,146,80.0
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,1998-11-03,SA_REP,7000,146,80.0
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,1997-11-11,SA_REP,10500,147,80.0
163,Danielle,Greene,DGREENE,011.44.1346.229268,1999-03-19,SA_REP,9500,147,80.0
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,2000-01-24,SA_REP,7200,147,80.0
165,David,Lee,DLEE,011.44.1346.529268,2000-02-23,SA_REP,6800,147,80.0
166,Sundar,Ande,SANDE,011.44.1346.629268,2000-03-24,SA_REP,6400,147,80.0
167,Amit,Banda,ABANDA,011.44.1346.729268,2000-04-21,SA_REP,6200,147,80.0
168,Lisa,Ozer,LOZER,011.44.1343.929268,1997-03-11,SA_REP,11500,148,80.0
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,1998-03-23,SA_REP,10000,148,80.0
170,Tayler,Fox,TFOX,011.44.1343.729268,1998-01-24,SA_REP,9600,148,80.0
171,William,Smith,WSMITH,011.44.1343.629268,1999-02-23,SA_REP,7400,148,80.0
172,Elizabeth,Bates,EBATES,011.44.1343.529268,1999-03-24,SA_REP,7300,148,80.0
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,2000-04-21,SA_REP,6100,148,80.0
174,Ellen,Abel,EABEL,011.44.1644.429267,1996-05-11,SA_REP,11000,149,80.0
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,1997-03-19,SA_REP,8800,149,80.0
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,1998-03-24,SA_REP,8600,149,80.0
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,1998-04-23,SA_REP,8400,149,80.0
178,Kimberely,Grant,KGRANT,011.44.1644.429263,1999-05-24,SA_REP,7000,149,
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,2000-01-04,SA_REP,6200,149,80.0
180,Winston,Taylor,WTAYLOR,650.507.9876,1998-01-24,SH_CLERK,3200,120,50.0
181,Jean,Fleaur,JFLEAUR,650.507.9877,1998-02-23,SH_CLERK,3100,120,50.0
182,Martha,Sullivan,MSULLIVA,650.507.9878,1999-06-21,SH_CLERK,2500,120,50.0
183,Girard,Geoni,GGEONI,650.507.9879,2000-02-03,SH_CLERK,2800,120,50.0
184,Nandita,Sarchand,NSARCHAN,650.509.1876,1996-01-27,SH_CLERK,4200,121,50.0
185,Alexis,Bull,ABULL,650.509.2876,1997-02-20,SH_CLERK,4100,121,50.0
186,Julia,Dellinger,JDELLING,650.509.3876,1998-06-24,SH_CLERK,3400,121,50.0
187,Anthony,Cabrio,ACABRIO,650.509.4876,1999-02-07,SH_CLERK,3000,121,50.0
188,Kelly,Chung,KCHUNG,650.505.1876,1997-06-14,SH_CLERK,3800,122,50.0
189,Jennifer,Dilly,JDILLY,650.505.2876,1997-08-13,SH_CLERK,3600,122,50.0
190,Timothy,Gates,TGATES,650.505.3876,1998-07-11,SH_CLERK,2900,122,50.0
191,Randall,Perkins,RPERKINS,650.505.4876,1999-12-19,SH_CLERK,2500,122,50.0
192,Sarah,Bell,SBELL,650.501.1876,1996-02-04,SH_CLERK,4000,123,50.0
193,Britney,Everett,BEVERETT,650.501.2876,1997-03-03,SH_CLERK,3900,123,50.0
194,Samuel,McCain,SMCCAIN,650.501.3876,1998-07-01,SH_CLERK,3200,123,50.0
195,Vance,Jones,VJONES,650.501.4876,1999-03-17,SH_CLERK,2800,123,50.0
196,Alana,Walsh,AWALSH,650.507.9811,1998-04-24,SH_CLERK,3100,124,50.0
197,Kevin,Feeney,KFEENEY,650.507.9822,1998-05-23,SH_CLERK,3000,124,50.0
198,Donald,OConnell,DOCONNEL,650.507.9833,1999-06-21,SH_CLERK,2600,124,50.0
199,Douglas,Grant,DGRANT,650.507.9844,2000-01-13,SH_CLERK,2600,124,50.0
200,Jennifer,Whalen,JWHALEN,515.123.4444,1987-09-17,AD_ASST,4400,101,10.0
201,Michael,Hartstein,MHARTSTE,515.123.5555,1996-02-17,MK_MAN,13000,100,20.0
202,Pat,Fay,PFAY,603.123.6666,1997-08-17,MK_REP,6000,201,20.0
203,Susan,Mavris,SMAVRIS,515.123.7777,1994-06-07,HR_REP,6500,101,40.0
204,Hermann,Baer,HBAER,515.123.8888,1994-06-07,PR_REP,10000,101,70.0
205,Shelley,Higgins,SHIGGINS,515.123.8080,1994-06-07,AC_MGR,12000,101,110.0
206,William,Gietz,WGIETZ,515.123.8181,1994-06-07,AC_ACCOUNT,8300,205,110.0
